tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Crocidura_latona,Crocidura_latona,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_zaphiri,Crocidura_zaphiri,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
Crocidura_caliginea,Crocidura_caliginea,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_hispida,Crocidura_hispida,direct,Eulipotyphla,Soricidae,Crocidura,VU,0.0
Crocidura_voi,Crocidura_voi,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_tansaniana,Crocidura_tansaniana,direct,Eulipotyphla,Soricidae,Crocidura,NT,0.0
Crocidura_gmelini,Crocidura_suaveolens,synonym:nominalName,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_cyanea,Crocidura_cyanea,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_wimmeri,Crocidura_wimmeri,direct,Eulipotyphla,Soricidae,Crocidura,VU,0.0
Crocidura_baluensis,Crocidura_baluensis,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_poensis,Crocidura_poensis,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_buettikoferi,Crocidura_buettikoferi,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_kivuana,Crocidura_niobe,synonym:nominalName,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_theresae,Crocidura_theresae,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_tenuis,Crocidura_tenuis,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
Crocidura_batesi,Crocidura_poensis,synonym:nominalName,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_floweri,Crocidura_floweri,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
